numEvt  HV1     countsS1    HV2     countsS2    HV3     countsS3    HVSG    countsSG
1       1899    1456        1901    20          1901    1           1349    792
2       1949    4235        1951    40          1951    18          1399    1861
3       2000    13586       2000    110         2000    1597        1451    2826
4       2050    21513       2050    262         2050    3768        1500    4205
5       2100    32257       2100    1046        2100    5846        1550    7519
6       2150    43918       2150    2219        2150    8060        1600    22579
7       2200    83817       2200    3578        2200    14677       1650    110264
8       2250    171817      2250    5245        2250    31894       1700    472306
9       2300    221900      2300    12757       2300    52764       1750    1173724
10      2350    272705      2350    41349       2350    78518       1800    2578859
11      2400    328779      2400    78502       2400    102804      1850    5196215
12      2450    388252      2450    118695      2450    147218      1900    10818219
