EfficiencySG

ndata
12

time(s)
1500

numEvt  HVmonSG     Ndoppie     Ntriple
1       1492        816         606
2       1550        705         538
3       1595        681         522
4       1647        771         572
5       1698        686         543
6       1764        743         583
7       1797        753         592
8       1848        722         545
9       1897        732         534
10      1400        705         363
11      1295        593         83

12      1796        126         98
(con S3)            Ntriple     Nquadruple
